solute_inchi,solute_smiles,solute_name,solvent_inchi,solvent_smiles,solvent_name,temperature,temperature_units,solubility reported in paper,std reported in paper,units reported in paper,source,solvent_density [kg/m3],warning_density,experimental_logS [mol/L],logS_warning
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",CC1=CC=CC=C1,toluene,278.15,K,0.00762,8E-05,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,880.8,,-1.13392896293359,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,InChI=1/C2H3N/c1-2-3/h1H3,CC#N,acetonitrile,298.15,K,0.03301,9E-05,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,786,,-0.184418900827674,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,InChI=1/C2H3N/c1-2-3/h1H3,CC#N,acetonitrile,278.15,K,0.0121,0.0001,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,798.67,,-0.622625231830459,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,InChI=1/C2H3N/c1-2-3/h1H3,CC#N,acetonitrile,288.15,K,0.019,0.0001,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,789.82,,-0.428452267875106,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C3H8O/c1-3(2)4/h3-4H,1-2H3",CC(C)O,2-propanol,293.15,K,0.0864,0.0001,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,786,,0.092612840082728,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,InChI=1/C2H3N/c1-2-3/h1H3,CC#N,acetonitrile,273.15,K,0.0096,0.0002,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,804.44,,-0.721110729592785,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",CC1=CC=CC=C1,toluene,288.15,K,0.0135,0.0002,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,871.54,,-0.887559234042659,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,InChI=1/C2H3N/c1-2-3/h1H3,CC#N,acetonitrile,283.15,K,0.0146,0.0002,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,792.91,,-0.543100795336107,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",CC1=CC=CC=C1,toluene,293.15,K,0.0185,0.0002,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,866.89,,-0.750837819484697,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",CCO,ethanol,288.15,K,0.0834,0.0002,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,793.5,,0.195380223480674,Converted from mole fraction
