idx,rsmi,psmi,rinchi,pinchi,dE0,dHrxn298,rmg_family
0,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([C:2]([N:3]=[O:4])=[N+:6]=[N-:5])([H:7])([H:8])[H:9],InChI=1S/C2H3N3O/c1-2-3-5-6-4-2/h1H3,InChI=1S/C2H3N3O/c1-2(4-3)5-6/h1H3,48.73925,21.402279999999998,
1,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([N:3]=[C:2]=[N:6][N:5]=[O:4])([H:7])([H:8])[H:9],InChI=1S/C2H3N3O/c1-2-3-5-6-4-2/h1H3,InChI=1S/C2H3N3O/c1-3-2-4-5-6/h1H3,74.31711,21.5745,
2,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]1([H:6])([H:7])[O:2][C:3]([H:9])([H:10])[C:4]1([H:11])[H:12].[O:5]([H:8])[H:13],"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3",InChI=1S/C3H6O.H2O/c1-2-4-3-1;/h1-3H2;1H2,102.81328,13.09638,
3,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]1([H:9])([H:10])[C:4]([H:11])([H:12])[O:5]1,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3","InChI=1S/C2H4O.CH4O/c1-2-3-1;1-2/h1-2H2;2H,1H3",76.92773000000001,27.94548,
4,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]([C:4](=[O:5])[H:12])([H:9])([H:10])[H:11],"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3","InChI=1S/C2H4O.CH4O/c1-2-3;1-2/h2H,1H3;2H,1H3",72.31295,1.3899,
6,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][C:3](=[C:4]([H:11])[H:12])[H:10])([H:6])([H:7])[H:8].[O:5]([H:9])[H:13],"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3","InChI=1S/C3H6O.H2O/c1-3-4-2;/h3H,1H2,2H3;1H2",71.88139,9.16194,"1,3_Insertion_ROR"
7,[O:1]=[C:2]([N:3]=[N+:4]=[N-:5])[H:6],[C:2](#[N:3])[H:6].[O:1]=[N+:5]=[N-:4],InChI=1S/CHN3O/c2-4-3-1-5/h1H,InChI=1S/CHN.N2O/c1-2;1-2-3/h1H;,56.2613,8.42718,
8,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])([H:8])[C@:2]([C:3]([H:10])([H:11])[H:12])([H:9])[C:6]([H:15])([H:16])[C:5]([H:13])([H:14])[C:4]1,"InChI=1S/C6H10/c1-2-6-3-5(1)4-6/h5-6H,1-4H2/t5-,6+","InChI=1S/C6H10/c1-6-4-2-3-5-6/h6H,2,4-5H2,1H3/t6-/m0/s1",76.04024,54.00063000000001,
9,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1](=[C:4]([C:5]([C:6]([C:2](=[C:3]([H:10])[H:11])[H:9])([H:15])[H:16])([H:13])[H:14])[H:12])([H:7])[H:8],"InChI=1S/C6H10/c1-2-6-3-5(1)4-6/h5-6H,1-4H2/t5-,6+","InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H,1-2,5-6H2",79.00832,6.59273,
10,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])([H:8])[C@:3]2([H:10])[C:2]([H:9])=[C:6]([H:15])[C:5]([H:13])([H:14])[C@:4]12[H:12].[H:11][H:16],"InChI=1S/C6H10/c1-2-6-3-5(1)4-6/h5-6H,1-4H2/t5-,6+","InChI=1S/C6H8.H2/c1-2-5-4-6(5)3-1;/h1-2,5-6H,3-4H2;1H/t5-,6+;/m0./s1",114.75238,22.2928,
